sentiment,text,user
"positive","RT @btsvotingteam: &lt; MAMA 2018 UPDATES &gt;\n\n⏱️D-18 | 11:00 PM KST 📉\n\n🌟#1 Best Male Group +23.09%\n🌟#1 Best Dance Group +22.13%\n🌟#1 Best Music…","70jiminbts"
"positive","my neighbor blasting his music like I won’t call the boys, happy thanksgiving bitch https://t.co/1oVfkgJeLX","kturcioss"
"positive","RT @organistalert: Need to take a moment here to give thanks to NHL organists. On a night when more than a dozen of them will play across t…","DrKerryAnne"
"neutral","RT @ckgthedon: Here’s an album for you… Snap It &amp; Post It C.K.G.\nhttps://t.co/nFl3bzrRbd \n@ckgthedon @ascap #Ascap plus #Losangeles #Music…","TeamCKGGirls"
"neutral","RT @natalie_mu: BARBEE BOYS「BARBEE BOYS IN TOKYO DOME 1988.08.22」インタビュー｜あの熱狂から30年、杏子＆イマサと振り返る東京ドームでの一夜 [Power Push公開中] https://t.co/e1rOM2K…","EyesNoraneko"
"negative","RT @AbidaleW: Whenever I think I’m having a bad day I think about the time I ran a half marathon and at the starting line all my music myst…","HaleyBallmer"
"neutral","VibeSquaD daily minute #animation\nmusic and video by aaron Holstein https://t.co/oO7nTTYNHo","VibeSquaD"
"negative","RT @hopeworldians: After so many comments from directioners saying 1D will always be the biggest boyband I got kinda mad and trashed their…","Ozzie_Aussie"
"neutral","RT @gundam_info: 描き下ろしジャケットで登場！「ガンダムビルドダイバーズ」DVD第5巻、本日発売！ https://t.co/8nnFRRTghH","megi_sin"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","kzyy98"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","yukhords"
"neutral","RT @SMTOWNGLOBAL: NCT 127’s ‘Simon Says’ music video will be unveiled tonight at 12am KST! The members will also tell us various spoilers a…","lauvelvets"
"positive","RT @ludwyka_rose: I love finding old music I forgot existed that I used to listen too :)","meganxhong"
"positive","They swear it's just music nahh y'all hoes really tryna live like that don't say it now when a mf blast ya https://t.co/iLSHj6e1Bk","raaaveeennn"
"positive","Murag mabungol jud kos kakusog sa music hahahaha.","superatedpg"
"positive","RT @MariahCarey: This really is my favorite time of year. I love spending the holidays with my family and friends. At those special moments…","Brad_Temper"
"positive","RT @yongnosaur: the year is 2035\nyongsun gets the best female singer award\nhyejin is getting married\nwheein is a famous artists who travels…","miklovesmamoo"
"neutral","RT @joyisabelllla: car rides by yourself w/ the music blasting &gt;&gt;","_TheBioExorcist"
"positive","RT @delafro_: She’s absolutely right though. In hip-hop specifically, people do not care about men putting their hands on women. They will…","AnastaysiaMines"
