sentiment,text,user
"neutral","RT @TS_SCI_MAJIC12: Allow us to translate:\n\nWe can't have a breakthrough in technology (literally taking it off Majestic 12's shelf) becaus…","nonspamming"
"neutral","RT @DRUDGE_REPORT: Departing comms chief says critics were targeted... https://t.co/dyhZZialr5","Guszilla"
"positive","RT @tech_cheers: Join 10 people right now at \"Reuters to Turn Photo and Video News Into Single Visual Journalist Team\" #cheers #technology…","vlics"
"positive","RT @BRRN_Fed: Somali immigrant workers for Amazon have organized and threatened to lead a walkout \"appear to be the first known group in th…","DansandDags"
"positive","you’d think with all this new technology, this new era of music and movies would be beasty, but shit be so predicta… https://t.co/Mdu07sKL33","crispina__"
"negative","RT @MehboobaMufti: PS - In todays age of technology, it is very strange that the fax machine at HE Governor’s residence didn’t receive our…","Hitik_Kalra"
"positive","RT @TataEurope: Our Tata Motors European Technical Centre (TMETC) colleagues will feature the autonomous @TataMotors Hexa on @BBCFOUR, for…","tuhin_sircar"
"positive","RT @tatn: 2/ The National Institute of Standards &amp; Technology established a cybersecurity best practices framework widely adopted by the pr…","drmaggiesa"
"neutral","RT @DefenseOne: Western observers have likely underestimated the number of Chinese nuclear submarines in development, reports @DefTechPat |…","estes_rickey"
"positive","RT @Bravo_Pay: @Bravo_Pay is kicking off the ‘Did You Know’ series today to help the community better understand our team, product, and tec…","AmoPoernomo"
"neutral","RT @witchieair: 🏄\n#Life is too short ...\n#Travel it !\n\n#StormHour #photography by @RyanPernofski \n#Surf #Oceans #beach #science #technology…","zproxy"
"positive","\"What Wet Dreams May Come: Remarkable Developments In Mind-reading Technology\"  https://t.co/rOEcaaG7JB #future #feedly","MChristianzobop"
"positive","@jamezbahnd @derekmagill @cryptodemedici Wow imagine if you had kept your 2011 bitcoins. 😢 No wonder you’re salty!… https://t.co/aL6slzjKRz","brixjorgn"
"negative","RT @profcarroll: Facebook’s P.R. oppo shop Defamers (ooops I mean Definers) made a fake presidential campaign for Tim Cook to harm Apple in…","ceejayoz"
"neutral","#MixRent   https://t.co/97eAdo8Y8L  \nhttps://t.co/1njxf56BXK a decentralized rent-a-car and sharing service Through… https://t.co/V8pKk4hcYF","globalking9"
"neutral","RT @TheEconomist: A cat’s tongue “acts like a loofah and a sponge at the same time”, according to David Hu of the Georgia Institute of Tech…","Victor_Asal"
"neutral","RT @RockzPlatform: Yassine Ben Hamida, co-founder, explains why ROCKZ has been created.\n\n#startups #business #blockchain #technology #crypt…","arun_nishad"
