sentiment,text,user
"neutral","RT @basedadxm: slap boxing should be an olympic sport","amiraintshit"
"neutral","@guscorrea87 O Palmeiras perdeu pro Sport e pro Fluminense no primeiro turno, sem contar os empates com Ceará e com… https://t.co/29sd6CWNXn","danielkhouri13"
"neutral","@daniarcucci @sport El jamas dudo.....sin comentarios https://t.co/YNs5wnl38V","Fernandoloio10"
"positive","RT @ParisJohnsonJr: the greatest rivalry in all of sport.. https://t.co/6RS11lNmpc","jaaiidan"
"positive","RT @Sangram_Sanjeet: #Ahmedabad is really shining &amp; some credit goes to dis Gentleman &amp; dear Bhaisahb @vnehra ji #MunicipalCommisenior of A…","Nitika42Nitika"
"neutral","@2ndgr8depressio This Stroke Sport Severed xxxxxxxxxxxx","EmpereurDuSable"
"positive","RT @Sports_Spectrum: \"What happened last night with Kyle Alexander and Jordan Bowden (being baptized) is far more important than any win we…","glmc81"
"neutral","This is a Greyt article giving the history of greyhound racing. \n\nIn the U.S. , the industry truly will be history… https://t.co/qHqVAlm1Zn","CProtectGreys"
"neutral","Today’s countdown on 2SM Talkin Sport is the 15 to 1 of the Australian sports people who have excelled in 2018.\n\nWh… https://t.co/wDEFh2uDZ3","BigOtrivia"
"neutral","@_bawbfromonline Can we just start a movement to call Bettman a doo-doo head so he opts out of the CBA and sends th… https://t.co/MoVHkNQJcL","gettinmelt"
"neutral","【文章发布于】尼日利亚足协与耐克续约四年，合作延续至2026年世界杯  \n                尼日利亚足协与耐克续约四年，合作延续至2026年世界杯\n                \n       - https://t.co/YKYFYBtuHT","3SING_SPORT"
"neutral","RT @GymAustralia: Congratulations to Alex Eade, who last month was announced as @Deakin University's Female Sportsperson of the Year 🏆 A ma…","gymworldcup"
"neutral","\"Catch the cast of Ngayon At Kailanman on their Holiday Tour on Nov.24 (SAT) 4PM at Enchanted Kingdom Sta.Rosa Lagu… https://t.co/7osDwVUlR5","krislaurencio21"
"positive","RT @ParisJohnsonJr: the greatest rivalry in all of sport.. https://t.co/6RS11lNmpc","Lopez_Tino3"
"positive","@mustang__sallie @willow003 Exactly. Sadly, it's not just exclusive to hockey. its every single sport thats \"meant for a man\". 😒","Electrifying"
